,Job Name ,Company Name ,Address ,Skills 
0,Junior Software Engineer / Deve…,Smart Acre Media Solutions,Chitwan,"Html , Css , Javascript , Smtp , Mysql"
1,Java Developer (Spring),Dzango Technologies Limited,"Kupondole, Lalitpur","React.Js , Html5/Css3 , Git"
2,ReactJS/React Native,Dhuni Software,Kathmandu,"Communication , Html , Css , Javascript"
3,Java Developer (Account Managem…,Smart Data Solution,Kupondole,"Jquery , Css , Javascript , J2Ee , Java"
4,Software Quality Analyst,Tekvortex,"Pulchowk, Lalitpur","Selenium , Software Quality Assurance , Java , Python , Test Automation"
5,React Developer,SK Technology,Remote,"React , Sql , Javascript"
6,React Developer,SK Technology,Remote,"React , Sql , Javascript"
7,Software Engineer– JAVA,YCO Solutions,"Panipokhari, Kathmandu","Interpersonal , Communication , Analytical , Html"
8,React Developer,EBPearls,"Lalitpur, Nepal","Html , Css , Javascript , Vuejs , Reactjs"
9,PHP Developer,AdMana Technology,"Tripureshwor, Kathmandu Opposite to World Trade Center","Interpersonal , Javascript , Communication , Teamwork , Creativity , Adaptability , Laravel Framework"
10,Android Engineer,Sagoon Nepal,"Kupondole (Sanepa), Nepal","Javascript , Kotlin , Roomdatabase , Mvvm , Android"
11,Senior React Developer,Soani Tech Nepal,"Manbhawan, Lalitpur, Nepal","Javascript , Json , Dom , Redux , React.Js"
12,Web Designer,EBPearls,Kathmandu,"Html , Jquery , Javascript , Css3 , Planning , Analytical"
13,Wordpress Developer,EBPearls,"Kandevtasthan, Kupondole, Lalitpur","Css , Jquery , Javascript , Html5 , Sass"
14,Senior Frontend Developer,Danphe Software Labs,"Anamangar, Kathmandu","Html , Css , Javascript , React , Frontend"
15,QA Engineer,Danphe Software Labs,"Anamangar, Kathmandu","Interpersonal , Html , Css , Javascript , Communication"
16,IOS Developers,View9,"New Baneshwor, Kathmandu","Web Services Security , Ios , Javascript"
